ID,Cidade,Area,Quartos,Banheiros,Vagas Garagem,Andar,Animal,Mobiliado,Condominio,Aluguel,IPTU,Seguro Incendio,Total
46,True,230.0,4,4,4,1,True,True,2300.0,13500.0,1084.0,172.0,17060.0
47,True,190.0,2,3,2,0,True,False,0.0,13050.0,1284.0,197.0,14530.0
48,True,205.0,4,4,6,5,True,False,2450.0,2720.0,959.0,35.0,6164.0
49,True,96.0,3,3,2,8,True,False,866.0,1790.0,90.0,23.0,2769.0
50,True,396.0,4,4,4,0,True,False,0.0,10000.0,750.0,151.0,10900.0
51,False,74.0,3,2,1,7,True,False,650.0,1600.0,250.0,21.0,2521.0
52,False,30.0,1,1,0,5,False,True,380.0,500.0,10.0,7.0,897.0
53,True,64.0,3,2,1,7,True,False,522.0,1400.0,65.0,18.0,2005.0
54,True,105.0,3,2,2,1,True,True,1544.0,7800.0,488.0,99.0,9931.0
55,True,50.0,1,2,1,10,True,True,1050.0,5900.0,259.0,75.0,7284.0
56,True,60.0,2,1,0,3,False,False,400.0,1300.0,0.0,17.0,1717.0
57,True,50.0,2,1,1,6,True,True,585.0,2000.0,49.0,26.0,2660.0
58,True,90.0,2,2,0,0,True,False,0.0,1700.0,38.0,26.0,1764.0
59,True,130.0,3,2,1,8,False,True,1200.0,7500.0,417.0,96.0,9213.0
60,True,20.0,1,1,0,1,False,True,0.0,1950.0,0.0,25.0,1975.0
61,True,400.0,4,3,2,0,True,False,0.0,5650.0,338.0,85.0,6073.0
62,True,220.0,3,3,5,0,True,False,0.0,7500.0,0.0,113.0,7613.0
63,True,750.0,7,6,5,0,True,True,0.0,5800.0,559.0,88.0,6447.0
64,True,20.0,1,1,0,0,True,True,602.0,1800.0,130.0,23.0,2555.0
65,False,140.0,3,2,2,15,False,False,998.0,2100.0,283.0,27.0,3408.0
66,True,22.0,1,1,0,0,False,False,250.0,1080.0,14.0,14.0,1358.0
67,True,345.0,2,3,2,4,False,False,3655.0,12000.0,783.0,153.0,16590.0
68,False,46.0,2,1,1,3,False,False,250.0,1100.0,53.0,5.0,1408.0
69,True,35.0,1,1,1,2,False,True,550.0,3250.0,30.0,42.0,3872.0
70,False,72.0,2,2,1,2,True,False,500.0,1200.0,97.0,16.0,1813.0
71,True,60.0,1,1,2,2,False,False,3398.0,1900.0,288.0,25.0,5611.0
72,True,180.0,3,2,4,0,False,True,0.0,11000.0,667.0,166.0,11830.0
73,True,83.0,3,2,1,9,False,True,805.0,3300.0,80.0,42.0,4227.0
74,True,50.0,1,1,0,1,True,False,519.0,1550.0,28.0,20.0,2117.0
75,True,38.0,1,1,1,14,False,True,1620.0,3020.0,279.0,39.0,4958.0
76,True,140.0,3,3,2,2,True,False,1300.0,2800.0,292.0,36.0,4428.0
77,False,62.0,2,1,1,3,True,False,485.0,980.0,48.0,13.0,1526.0
78,True,70.0,1,1,0,2,True,True,1500.0,4000.0,284.0,51.0,5835.0
79,False,55.0,1,1,0,14,True,False,600.0,1100.0,60.0,14.0,1774.0
80,False,60.0,2,1,1,1,False,False,430.0,815.0,20.0,6.0,1271.0
81,True,85.0,2,2,1,6,True,False,1250.0,1738.0,261.0,23.0,3272.0
82,True,134.0,3,3,3,11,False,False,1655.0,8000.0,380.0,102.0,10140.0
83,True,200.0,3,2,2,19,True,False,2573.0,10000.0,1121.0,127.0,13820.0
84,True,170.0,3,2,2,0,True,True,0.0,3900.0,267.0,59.0,4226.0
85,True,46.0,1,1,2,16,True,True,2210.0,6220.0,255.0,79.0,8764.0
86,True,20.0,1,1,0,4,True,True,602.0,1800.0,130.0,23.0,2555.0
87,True,58.0,2,2,1,5,False,True,1000.0,4500.0,144.0,58.0,5702.0
88,True,96.0,3,2,3,4,True,False,1024.0,2350.0,313.0,30.0,3717.0
89,True,190.0,3,3,3,6,True,False,3000.0,13000.0,84.0,165.0,16250.0
90,True,87.0,3,2,4,14,True,False,800.0,2000.0,67.0,26.0,2893.0
91,True,42.0,1,1,0,5,True,False,350.0,2400.0,94.0,31.0,2875.0
92,True,145.0,3,3,1,10,True,True,1380.0,11000.0,375.0,140.0,12900.0
93,True,250.0,4,6,4,12,False,False,3000.0,14500.0,875.0,184.0,18560.0
94,True,90.0,2,1,1,1,True,False,1000.0,3000.0,50.0,39.0,4089.0
95,True,250.0,6,2,2,0,True,False,0.0,2472.0,26.0,38.0,2536.0
96,True,500.0,3,4,5,0,True,True,0.0,7620.0,1094.0,115.0,8829.0
97,True,80.0,2,2,2,6,True,True,1581.0,8800.0,112.0,112.0,10610.0
98,False,120.0,3,2,3,0,True,False,0.0,2500.0,180.0,38.0,2718.0
99,False,265.0,3,3,2,0,True,False,0.0,2400.0,140.0,37.0,2577.0
100,False,50.0,2,1,1,4,True,False,330.0,1080.0,0.0,14.0,1424.0
101,False,126.0,3,3,2,1,True,False,780.0,3800.0,167.0,49.0,4796.0
102,False,55.0,2,1,1,1,True,False,390.0,720.0,0.0,10.0,1120.0
103,True,29.0,1,1,1,20,True,True,700.0,2700.0,84.0,35.0,3519.0
104,True,59.0,2,1,1,24,True,False,514.0,2450.0,138.0,32.0,3134.0
105,True,200.0,2,4,4,4,True,False,2450.0,7800.0,1417.0,99.0,11770.0
106,True,74.0,3,2,1,7,True,False,577.0,2196.0,100.0,28.0,2901.0
107,True,290.0,4,5,2,6,True,False,4300.0,10000.0,875.0,127.0,15300.0
108,True,172.0,3,4,3,1,True,False,1596.0,8000.0,820.0,102.0,10520.0
109,True,25.0,1,1,0,5,False,True,270.0,2600.0,67.0,33.0,2970.0
110,True,50.0,1,1,1,0,True,False,0.0,1100.0,0.0,17.0,1117.0
111,True,40.0,1,1,0,3,True,False,300.0,1100.0,0.0,14.0,1414.0
112,True,80.0,2,2,2,0,True,False,0.0,2465.0,0.0,38.0,2503.0
113,True,280.0,6,6,3,0,True,False,0.0,5000.0,1118.0,76.0,6194.0
114,True,60.0,1,1,1,12,True,True,850.0,4723.0,0.0,18.0,5591.0
115,True,115.0,2,3,2,8,True,False,1380.0,12000.0,790.0,153.0,14320.0
116,True,540.0,3,3,4,9,True,False,6200.0,15000.0,3500.0,191.0,24890.0
117,True,76.0,2,1,1,12,False,True,906.0,4250.0,217.0,54.0,5427.0
118,False,150.0,4,5,2,1,True,False,1100.0,2980.0,360.0,38.0,4478.0
119,True,130.0,3,2,1,8,True,False,2400.0,5500.0,209.0,70.0,8179.0
120,False,64.0,2,1,1,0,True,False,441.0,730.0,18.0,10.0,1199.0
121,True,55.0,2,2,1,2,True,False,420.0,1300.0,50.0,17.0,1787.0
122,True,50.0,1,1,0,1,True,False,600.0,1300.0,0.0,17.0,1917.0
123,True,120.0,2,3,2,20,True,False,2000.0,7000.0,180.0,89.0,9269.0
124,False,236.0,3,4,4,10,True,False,1600.0,11000.0,440.0,140.0,13180.0
125,False,30.0,1,1,0,4,True,False,336.0,550.0,10.0,7.0,903.0
126,False,270.0,3,3,0,0,True,True,0.0,8000.0,500.0,121.0,8621.0
127,False,48.0,1,1,0,9,True,False,350.0,670.0,21.0,9.0,1050.0
128,False,198.0,6,3,4,0,True,False,0.0,2000.0,145.0,31.0,2176.0
129,True,50.0,1,1,0,0,True,False,0.0,1080.0,59.0,17.0,1156.0
130,True,185.0,3,3,3,20,True,False,2670.0,5600.0,907.0,71.0,9248.0
131,True,440.0,4,4,4,0,True,False,0.0,12000.0,2500.0,181.0,14680.0
132,False,119.0,3,2,2,7,True,False,1650.0,1200.0,212.0,16.0,3078.0
133,True,57.0,2,2,2,16,True,False,510.0,1690.0,11.0,22.0,2233.0
134,True,65.0,2,1,1,1,True,False,100.0,1400.0,84.0,18.0,1602.0
135,True,35.0,2,1,1,0,True,False,125.0,2100.0,0.0,32.0,2257.0
136,False,51.0,1,2,1,16,False,False,703.0,2100.0,150.0,27.0,2980.0
137,False,70.0,2,3,1,7,True,False,1196.0,2004.0,0.0,26.0,3226.0
138,True,90.0,2,1,1,0,True,False,0.0,1500.0,0.0,23.0,1523.0
139,True,320.0,3,4,3,8,True,False,3400.0,6800.0,1.0,87.0,10290.0
140,True,250.0,7,5,2,0,True,False,0.0,12750.0,1045.0,192.0,13990.0
141,True,70.0,2,1,1,6,True,False,660.0,3800.0,45.0,49.0,4554.0
142,True,169.0,4,6,3,7,True,True,2560.0,10000.0,734.0,127.0,13420.0
143,True,33.0,1,1,0,1,False,False,338.0,1100.0,63.0,14.0,1515.0
144,True,225.0,4,4,3,7,True,False,2800.0,5000.0,1267.0,64.0,9131.0
145,True,42.0,1,1,0,2,True,True,0.0,3256.0,0.0,42.0,3298.0
146,True,120.0,3,4,1,0,False,False,0.0,4000.0,4.0,61.0,4065.0
147,True,70.0,3,2,2,3,False,False,750.0,1500.0,148.0,20.0,2418.0
148,True,90.0,1,1,2,0,True,True,0.0,3200.0,137.0,49.0,3386.0
149,True,260.0,4,5,4,9,True,True,2014.0,3300.0,1000.0,42.0,6356.0
150,True,243.0,3,3,4,10,True,False,2678.0,5500.0,1950.0,70.0,10200.0
151,True,100.0,1,1,0,0,True,False,0.0,1530.0,0.0,12.0,1542.0
152,True,240.0,3,4,3,9,True,False,3211.0,5100.0,1102.0,65.0,9478.0
153,False,45.0,1,1,1,4,True,False,700.0,870.0,46.0,12.0,1628.0
154,True,65.0,1,1,1,2,True,True,680.0,5000.0,14.0,64.0,5758.0
155,True,47.0,1,1,0,4,False,False,100.0,1000.0,76.0,13.0,1189.0
156,True,60.0,2,1,0,2,True,True,589.0,3300.0,65.0,42.0,3996.0
157,True,340.0,4,6,6,0,True,True,0.0,15000.0,250.0,226.0,15480.0
158,True,500.0,4,4,0,0,True,False,0.0,6000.0,467.0,91.0,6558.0
159,True,55.0,2,1,1,14,True,False,420.0,1399.0,0.0,18.0,1837.0
160,True,240.0,3,4,3,3,True,True,3600.0,4950.0,1000.0,63.0,9613.0
161,True,65.0,2,2,1,1,True,False,650.0,2315.0,0.0,7.0,2972.0
162,True,68.0,1,1,0,0,False,False,0.0,1213.0,0.0,6.0,1219.0
163,True,500.0,4,4,3,0,True,False,0.0,10800.0,988.0,163.0,11950.0
164,True,198.0,2,2,2,13,True,False,1700.0,5500.0,320.0,70.0,7590.0
165,True,62.0,2,1,1,13,True,False,543.0,2200.0,59.0,28.0,2830.0
166,True,60.0,2,2,1,4,True,False,632.0,2806.0,25.0,36.0,3499.0
167,True,187.0,3,2,3,0,False,True,1700.0,8400.0,584.0,127.0,10810.0
170,True,17.0,1,1,0,1,False,True,300.0,2400.0,50.0,31.0,2781.0
171,True,67.0,2,2,1,17,True,False,740.0,2200.0,170.0,28.0,3138.0
172,True,20.0,1,1,0,1,True,True,0.0,2060.0,0.0,27.0,2087.0
173,True,118.0,3,2,2,7,True,True,1880.0,8500.0,434.0,108.0,10920.0
174,True,43.0,1,1,1,2,True,False,850.0,2430.0,172.0,31.0,3483.0
175,True,195.0,2,3,1,10,True,False,1500.0,6000.0,334.0,77.0,7911.0
176,True,141.0,3,4,3,7,False,False,1646.0,7500.0,735.0,96.0,9977.0
177,True,45.0,1,1,1,1,False,False,550.0,2300.0,0.0,30.0,2880.0
178,True,48.0,1,1,1,19,True,False,588.0,1525.0,0.0,6.0,2119.0
179,True,280.0,3,4,2,3,False,False,4000.0,6000.0,1059.0,77.0,11140.0
180,True,170.0,3,2,2,5,False,False,2199.0,5000.0,423.0,64.0,7686.0
181,True,90.0,3,2,1,0,True,False,0.0,3260.0,0.0,50.0,3310.0
182,False,35.0,1,1,1,7,True,False,392.0,1100.0,13.0,14.0,1519.0
183,True,16.0,1,1,0,8,False,False,390.0,2300.0,100.0,30.0,2820.0
184,False,68.0,1,1,1,10,False,True,600.0,1000.0,48.0,13.0,1661.0
185,True,80.0,3,5,2,4,False,False,3460.0,12000.0,1000.0,153.0,16610.0
186,True,190.0,3,2,1,6,True,True,3040.0,8000.0,556.0,102.0,11700.0
187,True,150.0,3,4,2,0,False,False,0.0,3400.0,0.0,52.0,3452.0
188,True,112.0,3,3,2,12,True,True,1100.0,2670.0,188.0,34.0,3992.0
189,True,145.0,3,4,3,1,False,False,1200.0,6000.0,750.0,77.0,8027.0
190,False,47.0,1,1,1,8,True,False,560.0,1100.0,46.0,14.0,1720.0
191,True,128.0,3,2,1,3,True,True,1094.0,4529.0,242.0,58.0,5923.0
192,True,250.0,3,4,4,0,True,False,0.0,4500.0,334.0,68.0,4902.0
193,True,120.0,3,1,0,2,True,False,250.0,1460.0,0.0,21.0,1731.0
194,True,110.0,2,2,2,0,False,False,0.0,2700.0,300.0,41.0,3041.0
195,True,400.0,2,5,4,0,True,False,0.0,6000.0,484.0,91.0,6575.0
196,True,35.0,1,1,1,9,False,True,1050.0,2600.0,317.0,33.0,4000.0
197,True,107.0,2,2,2,18,True,True,1800.0,12800.0,417.0,163.0,15180.0
198,True,97.0,2,2,0,1,True,False,1200.0,5600.0,0.0,71.0,6871.0
199,True,70.0,2,1,0,1,False,False,350.0,1050.0,116.0,14.0,1530.0
200,True,20.0,1,1,0,3,False,True,150.0,3142.0,67.0,40.0,3399.0
201,True,130.0,3,2,2,6,True,False,1100.0,3500.0,209.0,45.0,4854.0
202,True,120.0,3,2,3,16,True,False,1400.0,2000.0,292.0,26.0,3718.0
203,True,110.0,3,3,2,2,True,True,1000.0,3800.0,192.0,49.0,5041.0
204,True,300.0,3,5,3,0,True,False,0.0,11900.0,250.0,179.0,12330.0
205,True,349.0,4,5,4,8,False,False,3100.0,11000.0,0.0,140.0,14240.0
206,True,97.0,3,2,2,1,True,False,730.0,3000.0,303.0,39.0,4072.0
207,True,84.0,4,1,3,5,False,False,1914.0,6000.0,804.0,77.0,8795.0
208,True,180.0,2,2,1,0,False,False,0.0,2800.0,105.0,43.0,2948.0
209,True,286.0,4,4,5,0,True,False,0.0,10000.0,1000.0,151.0,11150.0
210,True,500.0,5,7,5,22,True,False,5500.0,14000.0,2084.0,178.0,21760.0
211,True,110.0,3,3,3,4,True,False,1195.0,2350.0,670.0,30.0,4245.0
212,True,196.0,4,4,0,11,True,False,2450.0,6000.0,1458.0,77.0,9985.0
213,True,33.0,1,1,1,12,False,False,552.0,4150.0,95.0,53.0,4850.0
214,True,400.0,4,4,3,0,True,False,0.0,9000.0,542.0,136.0,9678.0
215,True,170.0,2,1,0,1,True,True,0.0,2481.0,0.0,26.0,2507.0
216,True,90.0,1,1,0,0,True,False,0.0,2200.0,109.0,34.0,2343.0
217,True,184.0,3,4,3,12,True,False,2700.0,1400.0,692.0,18.0,4810.0
218,True,117.0,2,2,1,11,False,True,630.0,7130.0,150.0,91.0,8001.0
219,True,11.0,1,1,0,0,False,True,0.0,1181.0,0.0,15.0,1196.0
220,False,57.0,1,1,1,2,True,False,605.0,800.0,66.0,11.0,1482.0
221,True,16.0,1,1,0,1,False,False,0.0,850.0,30.0,11.0,891.0
222,True,180.0,4,3,1,4,True,True,1572.0,5000.0,240.0,64.0,6876.0
223,True,250.0,3,4,2,16,True,False,3300.0,6000.0,517.0,77.0,9894.0
224,True,220.0,3,4,2,0,True,True,0.0,7000.0,434.0,106.0,7540.0
225,True,360.0,3,5,4,22,True,False,2398.0,3135.0,1467.0,40.0,7040.0
226,True,122.0,3,4,3,5,True,False,0.0,4500.0,0.0,58.0,4558.0
227,True,138.0,3,4,3,2,False,False,790.0,7000.0,690.0,89.0,8569.0
228,True,110.0,3,1,1,1,True,False,1235.0,1400.0,0.0,18.0,2653.0
229,True,220.0,4,3,3,3,True,False,1600.0,3400.0,0.0,44.0,5044.0
230,True,118.0,3,2,1,11,False,False,1116.0,4775.0,185.0,61.0,6137.0
231,True,180.0,2,2,1,15,True,False,1800.0,5350.0,0.0,68.0,7218.0
232,True,52.0,2,1,1,7,True,False,540.0,1300.0,63.0,17.0,1920.0
233,True,30.0,1,1,0,1,True,True,0.0,1550.0,21.0,20.0,1591.0
234,True,160.0,3,3,2,5,True,True,1650.0,1500.0,419.0,20.0,3589.0
235,False,209.0,3,3,2,0,False,False,593.0,2550.0,237.0,39.0,3419.0
236,True,450.0,5,5,6,0,True,False,0.0,9500.0,1345.0,143.0,10990.0
237,True,117.0,3,3,3,10,True,False,2280.0,2300.0,700.0,30.0,5310.0
238,True,900.0,4,6,8,0,True,False,0.0,15000.0,4417.0,226.0,19640.0
239,True,200.0,3,3,0,0,True,False,0.0,4500.0,71.0,68.0,4639.0
240,True,128.0,3,3,2,10,True,False,2600.0,3800.0,605.0,49.0,7054.0
241,True,140.0,3,2,2,2,True,False,1480.0,3700.0,167.0,47.0,5394.0
242,True,180.0,3,3,4,27,True,False,2000.0,7000.0,859.0,89.0,9948.0
243,True,280.0,4,4,5,9,True,False,3000.0,3200.0,875.0,41.0,7116.0
244,True,420.0,4,6,4,8,True,False,3500.0,15000.0,2250.0,191.0,20940.0
245,True,48.0,1,1,1,8,True,True,740.0,2700.0,137.0,35.0,3612.0
246,True,148.0,3,2,2,2,False,True,2830.0,9000.0,267.0,115.0,12210.0
247,True,75.0,2,1,1,5,False,False,748.0,2000.0,0.0,26.0,2774.0
248,True,44.0,1,1,0,1,False,False,417.0,3016.0,0.0,12.0,3445.0
249,True,35.0,1,1,0,0,True,False,0.0,1100.0,30.0,14.0,1144.0
250,True,320.0,4,2,2,0,True,True,0.0,8000.0,642.0,121.0,8763.0
251,False,98.0,3,2,1,1,True,False,727.0,1233.0,84.0,16.0,2060.0
252,False,51.0,1,1,0,12,False,True,707.0,1300.0,45.0,17.0,2069.0
253,True,322.0,4,5,5,17,True,True,2700.0,15000.0,1875.0,191.0,19770.0
254,True,187.0,4,5,3,5,True,False,3912.0,5300.0,1424.0,68.0,10700.0
255,True,62.0,3,2,1,6,False,True,1550.0,4800.0,167.0,61.0,6578.0
256,True,130.0,2,2,1,0,True,False,1100.0,4300.0,100.0,55.0,5555.0
257,False,600.0,4,6,3,0,True,False,1123.0,5500.0,819.0,83.0,7525.0
258,True,520.0,3,4,2,0,True,False,0.0,9000.0,1500.0,136.0,10640.0
259,True,86.0,1,2,1,13,True,True,1800.0,6500.0,375.0,83.0,8758.0
260,True,72.0,2,2,1,6,True,False,1100.0,5431.0,334.0,69.0,6934.0
261,True,550.0,4,4,4,0,True,False,0.0,14000.0,1334.0,211.0,15550.0
262,True,50.0,1,1,0,0,False,False,0.0,1220.0,0.0,19.0,1239.0
263,True,298.0,5,3,3,0,True,False,0.0,8000.0,1384.0,121.0,9505.0
264,False,74.0,3,2,1,10,True,False,700.0,1800.0,120.0,23.0,2643.0
265,True,41.0,1,1,0,17,True,True,450.0,2470.0,0.0,32.0,2952.0
266,False,80.0,3,2,2,2,True,False,750.0,1450.0,110.0,19.0,2329.0
267,True,130.0,3,2,1,1,True,False,1200.0,4500.0,100.0,58.0,5858.0
268,True,64.0,1,2,2,15,True,False,691.0,2100.0,92.0,27.0,2910.0
269,True,50.0,1,1,1,9,False,False,1170.0,2730.0,9.0,35.0,3944.0
270,True,200.0,3,2,4,0,True,False,0.0,3500.0,0.0,53.0,3553.0
271,True,70.0,1,1,2,9,True,True,2150.0,7000.0,542.0,89.0,9781.0
272,False,41.0,1,1,1,11,True,False,390.0,1950.0,65.0,14.0,2419.0
273,True,89.0,2,2,0,2,True,False,1000.0,1900.0,0.0,25.0,2925.0
274,True,250.0,4,2,8,0,True,False,0.0,13040.0,500.0,197.0,13740.0
275,True,105.0,2,1,0,0,True,False,0.0,1800.0,125.0,28.0,1953.0
276,True,150.0,2,2,1,0,True,False,1.0,2100.0,0.0,32.0,2133.0
277,True,50.0,2,1,1,14,False,False,450.0,1950.0,0.0,25.0,2425.0
278,True,180.0,3,2,1,0,True,False,0.0,5400.0,459.0,82.0,5941.0
279,True,50.0,1,1,0,0,False,False,0.0,1000.0,0.0,16.0,1016.0
280,False,70.0,1,1,2,0,True,False,0.0,1450.0,5.0,22.0,1477.0
281,True,177.0,2,2,2,0,True,False,0.0,6000.0,342.0,91.0,6433.0
282,True,177.0,4,5,4,12,True,False,1500.0,9200.0,959.0,117.0,11780.0
283,True,18.0,1,1,0,0,True,False,0.0,1710.0,0.0,22.0,1732.0
284,True,200.0,3,4,2,0,True,False,0.0,2900.0,1100.0,44.0,4044.0
285,True,45.0,1,1,1,1,False,True,3000.0,5520.0,0.0,70.0,8590.0
286,False,70.0,2,1,1,3,True,False,220.0,750.0,43.0,10.0,1023.0
287,True,66.0,3,2,1,9,True,False,708.0,2179.0,13.0,28.0,2928.0
288,True,48.0,2,1,0,2,True,False,90.0,1150.0,90.0,15.0,1345.0
289,True,515.0,5,4,3,5,True,False,5600.0,15000.0,250.0,191.0,21040.0
290,True,55.0,2,2,1,7,True,False,650.0,2000.0,0.0,26.0,2676.0
291,True,350.0,4,5,2,0,True,False,0.0,5000.0,325.0,76.0,5401.0
292,True,260.0,3,3,3,8,True,True,2210.0,5000.0,842.0,64.0,8116.0
293,True,78.0,2,1,1,7,True,False,645.0,2000.0,35.0,26.0,2706.0
294,True,35.0,1,1,0,6,True,True,420.0,1780.0,0.0,23.0,2223.0
295,True,106.0,2,1,2,0,False,False,0.0,2100.0,110.0,32.0,2242.0
296,True,500.0,3,3,5,0,True,True,0.0,15000.0,1125.0,226.0,16350.0
297,True,38.0,1,1,0,0,False,False,0.0,1650.0,0.0,25.0,1675.0
298,True,153.0,2,2,1,15,True,True,1500.0,11900.0,350.0,151.0,13900.0
299,True,64.0,2,2,2,5,True,False,830.0,1600.0,205.0,21.0,2656.0
300,True,260.0,3,4,4,0,True,False,0.0,4500.0,0.0,68.0,4568.0
301,False,50.0,1,1,1,11,True,False,1500.0,500.0,105.0,7.0,2112.0
302,True,170.0,3,2,1,14,True,True,1700.0,4500.0,85.0,58.0,6343.0
303,True,120.0,2,2,2,15,True,True,1043.0,4880.0,264.0,62.0,6249.0
304,True,700.0,4,5,2,10,True,True,3000.0,8000.0,402.0,102.0,11500.0
305,True,270.0,5,7,2,0,True,False,0.0,3978.0,89.0,60.0,4127.0
306,True,40.0,1,1,0,6,True,False,890.0,3463.0,0.0,32.0,4385.0
307,True,640.0,4,4,4,12,True,True,5400.0,10200.0,1584.0,130.0,17310.0
308,True,40.0,1,1,0,0,True,False,0.0,980.0,59.0,15.0,1054.0
309,True,40.0,2,1,0,3,True,False,348.0,1100.0,0.0,14.0,1462.0
310,True,42.0,1,1,1,0,True,True,450.0,2000.0,88.0,26.0,2564.0
311,True,62.0,1,1,0,3,True,False,550.0,2100.0,0.0,27.0,2677.0
312,True,106.0,2,3,2,18,False,True,950.0,5000.0,250.0,64.0,6264.0
313,True,103.0,3,2,1,7,True,False,944.0,4400.0,126.0,56.0,5526.0
314,True,360.0,3,5,3,13,True,False,4300.0,8500.0,1500.0,108.0,14410.0
315,True,113.0,1,1,2,9,True,True,650.0,6400.0,0.0,82.0,7132.0
316,True,164.0,4,4,3,1,True,False,1840.0,6000.0,550.0,77.0,8467.0
317,True,110.0,3,2,3,0,True,False,0.0,2800.0,15.0,43.0,2858.0
318,True,110.0,2,2,1,8,True,True,1285.0,4348.0,196.0,56.0,5885.0
319,True,136.0,4,3,1,3,True,False,1800.0,4200.0,312.0,54.0,6366.0
320,False,65.0,1,1,1,9,True,False,380.0,1200.0,83.0,16.0,1679.0
321,True,62.0,2,1,1,8,False,False,735.0,1345.0,35.0,18.0,2133.0
322,False,163.0,3,5,3,20,True,False,1450.0,9800.0,350.0,125.0,11730.0
323,True,47.0,2,1,1,12,True,False,597.0,1570.0,0.0,20.0,2187.0
324,True,50.0,1,1,1,1,True,False,795.0,3500.0,213.0,45.0,4553.0
325,True,79.0,3,2,2,6,True,True,900.0,3000.0,209.0,39.0,4148.0
326,True,250.0,3,3,2,7,False,True,1400.0,5380.0,234.0,69.0,7083.0
327,True,50.0,2,1,1,6,True,False,380.0,1210.0,0.0,16.0,1606.0
328,True,150.0,3,3,2,0,True,False,0.0,5000.0,235.0,76.0,5311.0
329,False,76.0,2,1,0,2,True,False,300.0,700.0,100.0,9.0,1109.0
330,True,72.0,2,2,1,7,True,False,520.0,1800.0,159.0,23.0,2502.0
331,True,35.0,1,1,1,17,True,True,1280.0,4000.0,200.0,51.0,5531.0
332,True,250.0,3,4,4,16,True,False,3421.0,10700.0,1224.0,136.0,15480.0
