,Cidade,Area,Quartos,Banheiros,Vagas Garagem,Andar,Animal,Mobiliado
93,1,250,4,6,4,12,False,False
94,1,90,2,1,1,1,True,False
95,1,250,6,2,2,-,True,False
96,1,500,3,4,5,-,True,True
97,1,80,2,2,2,6,True,True
98,0,120,3,2,3,-,True,False
99,0,265,3,3,2,-,True,False
100,0,50,2,1,1,4,True,False
101,0,126,3,3,2,1,True,False
102,0,55,2,1,1,1,True,False
103,1,29,1,1,1,20,True,True
104,1,59,2,1,1,24,True,False
105,1,200,2,4,4,4,True,False
106,1,74,3,2,1,7,True,False
107,1,290,4,5,2,6,True,False
108,1,172,3,4,3,1,True,False
109,1,25,1,1,0,5,False,True
110,1,50,1,1,1,-,True,False
111,1,40,1,1,0,3,True,False
112,1,80,2,2,2,-,True,False
113,1,280,6,6,3,-,True,False
114,1,60,1,1,1,12,True,True
115,1,115,2,3,2,8,True,False
116,1,540,3,3,4,9,True,False
117,1,76,2,1,1,12,False,True
118,0,150,4,5,2,1,True,False
119,1,130,3,2,1,8,True,False
120,0,64,2,1,1,-,True,False
121,1,55,2,2,1,2,True,False
122,1,50,1,1,0,1,True,False
123,1,120,2,3,2,20,True,False
124,0,236,3,4,4,10,True,False
125,0,30,1,1,0,4,True,False
126,0,270,3,3,0,-,True,True
127,0,48,1,1,0,9,True,False
128,0,198,6,3,4,-,True,False
129,1,50,1,1,0,-,True,False
130,1,185,3,3,3,20,True,False
131,1,440,4,4,4,-,True,False
132,0,119,3,2,2,7,True,False
133,1,57,2,2,2,16,True,False
134,1,65,2,1,1,1,True,False
135,1,35,2,1,1,-,True,False
136,0,51,1,2,1,16,False,False
137,0,70,2,3,1,7,True,False
138,1,90,2,1,1,-,True,False
139,1,320,3,4,3,8,True,False
140,1,250,7,5,2,-,True,False
141,1,70,2,1,1,6,True,False
142,1,169,4,6,3,7,True,True
143,1,33,1,1,0,1,False,False
144,1,225,4,4,3,7,True,False
145,1,42,1,1,0,2,True,True
146,1,120,3,4,1,-,False,False
147,1,70,3,2,2,3,False,False
148,1,90,1,1,2,-,True,True
149,1,260,4,5,4,9,True,True
150,1,243,3,3,4,10,True,False
151,1,100,1,1,0,-,True,False
152,1,240,3,4,3,9,True,False
153,0,45,1,1,1,4,True,False
154,1,65,1,1,1,2,True,True
155,1,47,1,1,0,4,False,False
156,1,60,2,1,0,2,True,True
157,1,340,4,6,6,-,True,True
158,1,500,4,4,0,-,True,False
159,1,55,2,1,1,14,True,False
160,1,240,3,4,3,3,True,True
161,1,65,2,2,1,1,True,False
162,1,68,1,1,0,-,False,False
163,1,500,4,4,3,-,True,False
164,1,198,2,2,2,13,True,False
165,1,62,2,1,1,13,True,False
166,1,60,2,2,1,4,True,False
167,1,187,3,2,3,-,False,True
168,1,,1,1,0,23,True,False
169,1,,3,4,3,-,True,False
170,1,17,1,1,0,1,False,True
171,1,67,2,2,1,17,True,False
172,1,20,1,1,0,1,True,True
173,1,118,3,2,2,7,True,True
174,1,43,1,1,1,2,True,False
175,1,195,2,3,1,10,True,False
176,1,141,3,4,3,7,False,False
177,1,45,1,1,1,1,False,False
178,1,48,1,1,1,19,True,False
179,1,280,3,4,2,3,False,False
180,1,170,3,2,2,5,False,False
181,1,90,3,2,1,-,True,False
182,0,35,1,1,1,7,True,False
183,1,16,1,1,0,8,False,False
184,0,68,1,1,1,10,False,True
185,1,80,3,5,2,4,False,False
186,1,190,3,2,1,6,True,True
187,1,150,3,4,2,-,False,False
188,1,112,3,3,2,12,True,True
189,1,145,3,4,3,1,False,False
190,0,47,1,1,1,8,True,False
191,1,128,3,2,1,3,True,True
192,1,250,3,4,4,-,True,False
193,1,120,3,1,0,2,True,False
194,1,110,2,2,2,-,False,False
195,1,400,2,5,4,-,True,False
196,1,35,1,1,1,9,False,True
197,1,107,2,2,2,18,True,True
198,1,97,2,2,0,1,True,False
199,1,70,2,1,0,1,False,False
200,1,20,1,1,0,3,False,True
201,1,130,3,2,2,6,True,False
202,1,120,3,2,3,16,True,False
203,1,110,3,3,2,2,True,True
204,1,300,3,5,3,-,True,False
205,1,349,4,5,4,8,False,False
206,1,97,3,2,2,1,True,False
207,1,84,4,1,3,5,False,False
208,1,180,2,2,1,-,False,False
209,1,286,4,4,5,-,True,False
210,1,500,5,7,5,22,True,False
211,1,110,3,3,3,4,True,False
212,1,196,4,4,0,11,True,False
213,1,33,1,1,1,12,False,False
214,1,400,4,4,3,-,True,False
215,1,170,2,1,0,1,True,True
216,1,90,1,1,0,-,True,False
217,1,184,3,4,3,12,True,False
218,1,117,2,2,1,11,False,True
219,1,11,1,1,0,-,False,True
220,0,57,1,1,1,2,True,False
221,1,16,1,1,0,1,False,False
222,1,180,4,3,1,4,True,True
223,1,250,3,4,2,16,True,False
224,1,220,3,4,2,-,True,True
225,1,360,3,5,4,22,True,False
226,1,122,3,4,3,5,True,False
227,1,138,3,4,3,2,False,False
228,1,110,3,1,1,1,True,False
229,1,220,4,3,3,3,True,False
230,1,118,3,2,1,11,False,False
231,1,180,2,2,1,15,True,False
232,1,52,2,1,1,7,True,False
233,1,30,1,1,0,1,True,True
234,1,160,3,3,2,5,True,True
235,0,209,3,3,2,-,False,False
236,1,450,5,5,6,-,True,False
237,1,117,3,3,3,10,True,False
238,1,900,4,6,8,-,True,False
239,1,200,3,3,0,-,True,False
240,1,128,3,3,2,10,True,False
241,1,140,3,2,2,2,True,False
242,1,180,3,3,4,27,True,False
243,1,280,4,4,5,9,True,False
244,1,420,4,6,4,8,True,False
245,1,48,1,1,1,8,True,True
246,1,148,3,2,2,2,False,True
247,1,75,2,1,1,5,False,False
248,1,44,1,1,0,1,False,False
249,1,35,1,1,0,-,True,False
250,1,320,4,2,2,-,True,True
251,0,98,3,2,1,1,True,False
252,0,51,1,1,0,12,False,True
253,1,322,4,5,5,17,True,True
254,1,187,4,5,3,5,True,False
255,1,62,3,2,1,6,False,True
256,1,130,2,2,1,-,True,False
257,0,600,4,6,3,-,True,False
258,1,520,3,4,2,-,True,False
259,1,86,1,2,1,13,True,True
260,1,72,2,2,1,6,True,False
261,1,550,4,4,4,-,True,False
262,1,50,1,1,0,-,False,False
263,1,298,5,3,3,-,True,False
264,0,74,3,2,1,10,True,False
265,1,41,1,1,0,17,True,True
266,0,80,3,2,2,2,True,False
267,1,130,3,2,1,1,True,False
268,1,64,1,2,2,15,True,False
269,1,50,1,1,1,9,False,False
270,1,200,3,2,4,-,True,False
271,1,70,1,1,2,9,True,True
272,0,41,1,1,1,11,True,False
273,1,89,2,2,0,2,True,False
274,1,250,4,2,8,-,True,False
275,1,105,2,1,0,-,True,False
276,1,150,2,2,1,-,True,False
277,1,50,2,1,1,14,False,False
278,1,180,3,2,1,-,True,False
279,1,50,1,1,0,-,False,False
280,0,70,1,1,2,-,True,False
281,1,177,2,2,2,-,True,False
282,1,177,4,5,4,12,True,False
283,1,18,1,1,0,-,True,False
284,1,200,3,4,2,-,True,False
285,1,45,1,1,1,1,False,True
286,0,70,2,1,1,3,True,False
287,1,66,3,2,1,9,True,False
288,1,48,2,1,0,2,True,False
289,1,515,5,4,3,5,True,False
290,1,55,2,2,1,7,True,False
291,1,350,4,5,2,-,True,False
292,1,260,3,3,3,8,True,True
293,1,78,2,1,1,7,True,False
294,1,35,1,1,0,6,True,True
295,1,106,2,1,2,-,False,False
296,1,500,3,3,5,-,True,True
297,1,38,1,1,0,-,False,False
298,1,153,2,2,1,15,True,True
299,1,64,2,2,2,5,True,False
300,1,260,3,4,4,-,True,False
301,0,50,1,1,1,11,True,False
302,1,170,3,2,1,14,True,True
303,1,120,2,2,2,15,True,True
304,1,700,4,5,2,10,True,True
305,1,270,5,7,2,-,True,False
306,1,40,1,1,0,6,True,False
307,1,640,4,4,4,12,True,True
308,1,40,1,1,0,-,True,False
309,1,40,2,1,0,3,True,False
310,1,42,1,1,1,-,True,True
311,1,62,1,1,0,3,True,False
312,1,106,2,3,2,18,False,True
313,1,103,3,2,1,7,True,False
314,1,360,3,5,3,13,True,False
315,1,113,1,1,2,9,True,True
316,1,164,4,4,3,1,True,False
317,1,110,3,2,3,-,True,False
318,1,110,2,2,1,8,True,True
319,1,136,4,3,1,3,True,False
320,0,65,1,1,1,9,True,False
321,1,62,2,1,1,8,False,False
322,0,163,3,5,3,20,True,False
323,1,47,2,1,1,12,True,False
324,1,50,1,1,1,1,True,False
325,1,79,3,2,2,6,True,True
326,1,250,3,3,2,7,False,True
327,1,50,2,1,1,6,True,False
328,1,150,3,3,2,-,True,False
329,0,76,2,1,0,2,True,False
330,1,72,2,2,1,7,True,False
331,1,35,1,1,1,17,True,True
332,1,250,3,4,4,16,True,False
333,0,85,3,1,1,9,False,False
334,0,60,1,1,1,14,True,False
335,0,47,2,1,1,-,True,False
336,1,104,3,3,2,3,False,True
337,0,203,3,1,2,-,True,False
338,1,136,3,2,1,85,True,False
339,1,53,1,1,1,3,True,False
340,1,400,4,3,2,-,True,False
341,1,40,1,1,1,14,True,True
342,1,38,1,1,0,6,True,False
343,1,340,4,6,4,8,True,True
344,0,134,3,3,2,7,False,False
345,1,97,2,2,0,9,True,True
346,1,90,1,1,0,-,False,False
347,1,260,4,5,2,1,True,True
348,1,66,2,1,0,7,True,False
349,1,92,2,1,1,12,False,False
350,1,92,3,3,1,3,True,True
351,1,155,3,4,2,14,True,False
352,1,30,1,1,0,1,False,False
353,1,27,1,1,0,5,False,False
354,1,175,4,3,2,-,True,False
355,1,326,3,4,4,12,True,False
356,1,236,4,5,4,7,True,False
357,0,119,3,1,1,5,True,False
358,1,23,1,1,0,23,True,False
359,1,260,2,4,4,19,False,False
360,1,400,3,3,2,-,False,False
361,1,87,1,1,2,14,True,True
362,1,65,2,1,1,-,True,False
363,1,210,3,4,4,11,True,True
364,1,250,3,4,2,-,True,False
365,1,155,3,2,3,4,True,True
366,0,300,4,3,5,-,True,False
367,0,70,3,2,2,4,True,False
368,1,68,1,2,1,11,True,False
369,0,220,3,5,3,4,False,True
370,0,91,3,2,2,12,True,False
371,0,230,4,4,8,-,True,False
372,0,48,2,1,0,4,True,False
373,1,90,2,2,2,15,False,True
374,1,60,1,1,1,15,True,True
375,1,450,4,4,3,14,True,False
376,1,16,1,1,0,1,False,False
377,1,100,3,2,1,8,True,False
378,1,300,3,3,3,-,True,False
379,1,151,3,4,3,14,False,True
380,1,150,3,4,3,12,True,True
381,1,57,2,1,1,7,True,False
382,1,30,1,1,1,4,False,True
383,0,53,1,1,1,8,True,True
384,1,270,3,4,3,-,True,False
385,1,78,2,2,2,8,True,True
386,1,20,1,1,0,1,False,True
387,1,140,5,2,1,1,True,True
388,1,155,3,3,2,2,True,True
389,1,118,3,2,4,1,True,False
390,0,235,4,4,3,13,True,False
391,1,400,4,4,4,9,True,False
392,1,80,2,2,1,6,False,False
393,1,50,1,1,0,2,False,True
394,0,55,2,2,1,9,True,False
395,1,400,4,4,4,-,True,False
396,1,63,3,2,0,18,True,False
397,1,325,4,3,2,3,True,False
398,1,200,3,3,2,7,False,True
399,1,58,2,2,1,5,True,True
400,1,180,3,2,3,-,True,False
401,1,159,3,2,0,5,True,False
402,1,420,4,3,4,-,True,False
403,1,88,3,1,2,5,True,False
404,0,70,3,1,1,6,True,False
405,1,246,4,5,4,12,False,False
406,1,53,2,1,1,1,True,False
407,1,22,1,1,1,19,False,False
408,1,80,1,1,0,-,True,False
409,1,30,1,1,1,11,True,True
410,0,157,3,5,3,1,True,False
411,1,450,3,3,8,-,True,True
412,1,90,3,2,0,-,True,False
413,1,88,2,1,0,7,False,False
414,0,46,1,1,0,5,True,True
415,1,189,4,2,2,4,True,False
416,1,49,2,1,1,10,False,False
417,1,180,3,2,2,2,True,False
418,1,128,3,3,2,1,True,False
419,1,60,2,2,0,-,True,False
420,1,74,3,2,1,7,True,False
421,1,80,1,1,1,10,True,False
422,1,150,3,2,1,-,True,False
423,1,70,3,2,1,3,True,False
424,1,113,3,2,2,2,True,False
425,0,50,1,1,0,-,True,False
426,1,300,4,2,2,1,True,True
427,1,140,2,3,1,3,True,True
428,1,300,4,5,1,8,True,True
429,1,350,5,4,8,-,False,False
430,1,78,2,1,1,-,True,False
431,0,110,2,2,0,18,True,True
432,1,423,4,5,7,28,True,False
433,1,110,1,1,0,20,True,False
434,1,136,2,4,2,7,True,False
435,1,56,2,1,1,3,True,False
436,1,20,1,1,0,3,True,True
437,1,115,3,2,2,8,True,False
438,1,140,2,2,1,3,False,False
439,1,64,2,1,1,2,True,False
440,1,60,2,1,1,15,True,True
441,1,132,3,2,1,11,True,False
442,1,210,4,3,3,11,True,False
443,1,300,4,4,3,-,True,True
444,1,130,3,2,2,-,True,False
445,1,108,2,4,2,7,True,False
446,1,75,2,2,1,4,True,False
447,1,250,3,3,3,-,True,False
448,0,55,1,1,0,5,True,False
449,1,129,3,2,3,5,False,True
450,1,158,4,4,3,5,True,False
451,1,100,3,3,2,1,True,False
452,1,130,3,2,3,-,True,True
453,1,25,1,1,0,-,True,False
454,1,240,3,2,3,-,True,False
455,1,196,3,4,2,1,False,False
456,1,39,1,1,1,5,True,False
457,0,46,2,1,1,3,True,False
458,1,120,3,2,0,1,True,False
459,1,270,2,2,3,17,True,False
460,1,700,4,10,0,-,True,False
461,0,462,4,7,4,-,True,False
462,1,35,1,1,1,9,True,True
463,1,90,3,3,2,12,False,False
464,1,98,3,2,2,1,True,False
465,1,159,2,2,1,8,True,True
466,1,115,3,5,2,10,True,False
467,1,400,3,3,1,3,True,False
468,0,60,2,1,1,9,False,False
469,1,220,3,4,3,11,True,True
470,1,67,2,1,1,4,True,False
471,1,165,3,4,3,7,True,False
472,1,100,2,4,0,1,True,False
473,1,55,1,2,1,2,True,False
474,0,35,1,1,1,2,True,False
475,1,51,1,1,1,10,True,True
476,1,73,2,2,1,13,True,False
477,1,320,5,5,4,4,True,False
478,1,35,1,1,1,7,True,False
479,1,46,1,1,0,3,True,False
480,0,350,4,3,4,-,False,False
481,1,340,4,4,3,2,True,False
482,1,28,1,1,1,4,False,True
483,1,125,3,2,2,-,True,True
484,1,44,1,1,1,3,True,False
485,1,95,2,1,1,15,True,False
486,1,310,3,4,3,8,True,False
487,1,48,2,1,0,3,True,False
488,1,30,4,4,2,-,True,True
489,0,46,1,1,1,10,True,False
490,1,141,3,2,2,4,True,False
491,1,58,1,1,1,17,True,False
492,1,48,2,1,0,-,True,False
493,1,560,5,5,6,-,True,False
494,1,98,3,2,1,9,True,False
495,1,340,3,4,4,2,False,False
496,1,224,4,4,3,2,True,True
497,0,50,1,1,1,3,True,False
498,1,250,3,4,3,8,True,False
499,1,100,2,2,1,6,True,False
500,1,600,3,3,4,-,True,False
501,0,114,3,2,1,4,True,False
502,0,67,2,1,1,2,True,False
503,1,160,4,3,2,9,True,True
504,1,130,2,2,1,17,True,False
505,1,114,1,1,1,6,True,False
506,1,52,2,1,1,4,True,False
507,1,31,1,1,0,6,True,True
508,1,78,2,1,1,1,True,False
509,1,60,2,2,1,3,True,True
510,1,40,1,1,0,5,True,False
511,1,145,4,4,3,14,True,False
512,1,127,2,3,2,2,True,False
513,1,330,4,5,4,13,True,False
514,0,180,4,3,1,11,False,False
515,1,120,4,3,2,13,True,True
516,1,40,1,1,1,10,False,True
517,1,160,4,4,2,-,True,False
518,0,130,3,2,2,4,True,True
519,1,80,2,1,1,2,True,False
520,1,112,3,4,3,9,True,False
521,1,30,1,1,1,10,False,False
522,1,184,4,3,3,2,True,True
523,1,56,2,1,1,11,True,True
524,1,40,1,1,1,6,False,True
525,1,65,2,2,1,7,True,False
526,1,146,3,2,2,14,True,True
527,0,60,2,1,1,3,True,False
528,1,170,3,2,2,4,True,True
529,1,240,4,4,4,8,True,True
530,1,200,4,2,2,-,True,True
531,1,69,2,1,1,3,True,False
532,1,224,3,4,2,9,True,False
533,1,109,3,2,2,20,True,True
534,1,50,2,1,2,9,False,False
535,0,59,2,1,1,5,True,False
536,1,162,2,3,3,3,False,True
537,0,93,3,2,1,7,True,False
538,1,580,6,6,6,-,True,False
539,1,216,3,4,2,10,True,False
540,1,90,2,1,0,9,False,False
541,1,200,3,3,2,7,True,False
542,0,55,1,1,0,4,True,False
543,1,40,1,1,1,3,False,False
544,1,87,3,3,2,12,False,True
545,1,60,2,1,0,-,True,False
546,1,70,3,2,1,7,True,False
547,1,243,2,3,2,-,True,False
548,1,78,1,1,2,8,False,True
549,1,103,2,1,0,-,True,False
550,1,72,3,2,1,3,False,False
551,1,95,1,2,2,15,True,False
552,1,135,3,2,2,9,True,False
553,1,310,5,4,5,3,True,False
554,1,68,2,2,1,18,False,True
555,1,360,4,5,4,12,True,False
556,1,420,4,4,4,9,True,False
557,1,266,3,5,1,15,True,True
558,1,172,3,4,3,5,True,True
559,1,240,3,5,4,-,True,False
560,0,108,1,3,2,9,True,False
561,1,50,1,1,0,12,True,True
562,1,180,3,3,2,1,True,False
563,0,380,4,6,3,-,True,False
564,1,125,3,4,0,2,False,False
565,1,50,2,2,1,12,True,False
566,1,382,3,4,2,11,True,False
567,1,51,1,1,0,9,True,False
568,1,128,2,2,0,9,True,False
569,0,51,1,1,0,3,True,False
570,0,45,1,1,0,11,False,True
571,1,300,4,5,4,-,True,True
572,1,180,3,1,0,-,True,False
573,1,120,3,2,1,17,True,False
574,1,87,3,2,0,6,True,False
575,1,116,2,2,2,8,False,True
576,1,200,4,2,1,5,True,False
577,1,556,6,7,4,-,True,False
578,0,62,2,2,2,5,True,False
579,1,63,2,2,1,19,True,True
580,1,96,3,1,1,5,True,True
581,1,61,2,2,1,1,True,False
582,1,266,4,5,4,7,True,False
583,0,48,1,1,0,4,False,True
584,1,33,2,1,0,12,True,True
585,1,150,2,2,3,2,False,True
586,1,175,3,2,2,-,False,False
587,1,108,3,4,0,4,True,False
588,1,100,4,5,4,1,True,False
589,1,81,1,1,1,8,True,False
590,1,29,1,1,0,5,True,False
591,1,60,2,2,1,13,True,False
592,1,70,2,1,1,19,True,False
593,1,130,2,2,0,6,True,False
594,1,83,3,2,2,25,True,True
595,1,320,3,4,2,-,True,True
596,0,87,3,2,1,4,True,False
597,1,240,2,3,1,3,True,True
598,1,108,3,3,2,-,True,False
599,1,160,3,2,1,5,True,False
600,1,178,3,4,4,18,True,False
601,1,116,3,2,3,11,True,True
602,1,82,2,2,1,7,True,False
603,1,72,2,1,1,3,True,False
604,1,160,3,2,2,13,True,False
605,1,230,3,4,3,7,False,False
606,1,60,2,2,1,5,True,True
607,1,50,1,1,0,11,True,True
608,1,79,2,2,1,2,True,True
609,0,94,3,1,1,6,True,False
610,1,200,3,3,6,-,True,False
611,1,60,2,2,1,10,True,False
612,1,98,3,2,2,3,True,False
613,0,75,2,1,1,2,True,False
614,1,190,3,3,2,11,True,True
615,1,20,1,1,0,3,False,True
616,0,46,1,1,0,2,True,False
617,1,22,1,1,0,-,False,False
618,1,49,1,1,0,1,True,True
619,0,105,3,2,2,6,True,False
620,1,140,3,4,2,3,False,True
621,1,127,2,2,2,5,True,False
622,1,200,4,7,4,-,True,True
623,1,100,3,2,2,1,True,False
624,1,200,2,2,2,-,True,False
625,1,300,4,6,6,17,True,False
626,1,25,1,1,0,-,True,False
627,1,160,3,2,2,1,True,False
628,1,145,3,1,2,-,True,True
629,0,62,1,1,1,5,False,False
630,0,50,1,1,1,16,True,False
631,0,74,3,1,1,4,True,False
632,1,190,3,3,2,-,True,False
633,0,326,3,3,4,-,True,False
634,1,240,4,4,4,22,True,False
635,1,40,1,1,0,18,False,True
636,1,42,1,1,1,4,False,False
637,1,90,2,1,0,1,True,False
638,1,84,1,2,0,1,True,True
639,1,70,2,1,1,7,True,False
640,1,110,3,2,2,11,True,False
641,1,110,3,2,3,11,True,False
642,1,90,2,2,1,6,True,True
643,0,308,3,3,4,-,True,False
644,1,61,2,2,1,13,True,False
645,0,400,5,7,4,5,True,False
646,1,320,3,3,2,10,True,False
647,1,50,1,1,1,2,True,False
648,1,80,1,1,1,5,True,True
649,1,44,1,1,0,13,False,True
650,1,130,5,2,0,2,True,False
651,1,400,5,6,0,-,True,False
652,1,130,2,1,1,9,True,False
653,1,96,3,3,1,11,True,False
654,1,57,2,2,2,12,True,False
655,1,240,3,3,2,-,True,True
656,1,30,1,1,1,6,True,False
657,1,20,1,1,0,2,True,True
658,1,45,2,1,0,2,True,False
659,1,250,4,5,2,17,True,True
660,1,240,4,5,5,5,True,False
661,1,22,1,1,0,25,True,False
662,1,240,3,4,3,2,True,False
663,1,206,4,4,3,10,True,False
664,1,96,3,3,1,11,True,False
665,1,156,3,4,2,2,True,False
666,1,400,3,3,3,-,False,False
667,0,60,2,1,1,3,True,False
668,0,37,1,1,0,4,False,True
669,1,73,2,2,2,1,True,False
670,1,182,3,4,3,-,True,False
671,1,300,3,4,1,-,True,False
672,1,48,1,1,0,5,False,False
673,1,850,4,4,8,-,True,False
674,1,76,3,1,1,2,True,False
675,1,57,2,2,1,2,False,True
676,1,104,2,1,0,8,False,False
677,1,65,3,3,2,9,True,False
678,1,64,2,1,0,6,True,False
679,1,31,1,1,0,14,True,True
680,1,35,1,1,1,1,False,True
681,1,275,3,5,6,-,True,True
682,1,310,4,5,5,6,True,True
683,1,58,2,2,1,4,False,False
684,1,55,2,1,0,4,True,False
685,1,53,1,2,1,3,True,True
686,1,35,1,1,0,-,True,False
687,1,180,4,4,1,-,True,False
688,1,71,1,1,0,1,True,False
689,1,180,3,4,3,12,True,True
690,1,900,5,9,8,1,True,True
691,1,32,1,1,1,18,False,True
692,1,98,2,2,2,29,True,False
693,1,180,3,2,2,6,True,False
694,1,47,1,1,1,15,True,False
695,1,109,3,2,2,7,True,False
696,1,210,4,4,4,5,True,False
697,1,109,3,2,1,3,True,False
698,1,116,4,3,2,8,True,False
699,1,111,3,2,0,7,True,False
700,1,120,3,3,2,1,True,True
701,1,178,4,3,2,5,True,False
702,1,39,1,1,1,5,True,True
703,1,59,1,1,0,12,False,False
704,1,54,1,2,1,13,True,True
705,1,35,1,1,0,3,False,True
706,1,244,3,2,3,14,True,True
707,1,170,3,2,2,-,True,False
708,1,300,3,3,8,-,True,False
709,1,35,1,1,0,7,False,False
710,1,114,5,3,1,-,True,False
711,1,300,3,4,8,-,True,False
712,1,166,3,2,1,7,True,False
713,1,90,2,3,1,2,True,False
714,1,100,4,4,1,-,True,False
715,0,76,1,2,0,1,True,False
716,1,200,3,3,2,5,True,False
717,1,156,3,2,1,-,True,False
718,1,94,2,2,2,-,True,False
719,0,53,1,1,1,3,True,False
720,1,85,2,1,1,12,True,True
721,1,50,2,1,1,4,True,False
722,1,127,4,3,2,11,False,False
723,1,35,1,1,0,-,True,False
724,1,370,4,4,3,-,True,False
725,0,70,2,2,2,15,True,True
726,1,700,6,8,8,-,True,True
727,1,79,2,2,0,13,True,True
728,1,46,1,1,1,3,True,True
729,1,300,4,5,6,-,True,True
730,1,62,2,2,1,2,True,False
731,1,296,4,5,3,3,True,False
732,1,40,1,1,0,4,True,False
733,1,52,1,1,1,7,False,True
734,1,58,2,2,1,3,True,False
735,0,123,3,2,2,13,True,False
736,0,80,2,1,1,1,True,False
737,1,170,3,2,1,14,True,True
738,1,260,4,4,4,4,True,False
739,1,90,2,2,1,7,True,True
740,1,190,3,2,1,6,False,False
741,1,40,1,1,1,13,False,False
742,1,120,3,2,0,-,False,False
743,1,57,1,1,1,16,True,True
744,0,70,1,1,1,4,True,False
745,1,120,2,3,2,2,True,True
746,1,135,3,3,2,7,True,True
747,1,300,4,6,5,-,True,False
748,1,36,1,1,1,4,True,False
749,1,33,1,1,0,1,False,False
750,1,65,2,2,1,3,True,False
751,1,67,2,1,1,1,True,False
752,1,51,1,1,0,13,True,True
753,1,38,1,1,0,16,True,True
754,1,80,2,1,1,-,True,False
755,1,275,3,3,1,11,True,True
756,1,33,1,1,1,5,True,False
757,1,40,1,1,1,-,False,False
758,1,210,4,4,3,3,True,False
759,1,90,2,2,1,-,False,False
760,1,260,4,4,3,11,False,False
761,1,40,1,1,1,16,True,True
762,1,50,1,1,0,-,True,False
763,0,50,2,1,1,-,False,False
764,1,68,1,2,1,5,True,False
765,1,20,1,1,0,2,False,True
766,1,189,3,3,1,12,True,False
767,1,160,4,4,3,9,True,True
768,0,60,2,2,1,19,True,False
769,1,440,3,2,4,-,True,False
770,1,220,5,5,4,22,True,False
771,1,33,1,1,1,8,True,True
772,1,354,5,6,3,-,True,False
