,Condominio,Aluguel,IPTU,Seguro Incendio,Total,Cidade,Area
89,"R$3,000","R$13,000",R$84,R$165,"R$16,250",1,190
90,R$800,"R$2,000",R$67,R$26,"R$2,893",1,87
91,R$350,"R$2,400",R$94,R$31,"R$2,875",1,42
92,"R$1,380","R$11,000",R$375,R$140,"R$12,900",1,145
93,"R$3,000","R$14,500",R$875,R$184,"R$18,560",1,250
94,"R$1,000","R$3,000",R$50,R$39,"R$4,089",1,90
95,R$0,"R$2,472",R$26,R$38,"R$2,536",1,250
96,R$0,"R$7,620","R$1,094",R$115,"R$8,829",1,500
97,"R$1,581","R$8,800",R$112,R$112,"R$10,610",1,80
98,R$0,"R$2,500",R$180,R$38,"R$2,718",0,120
99,R$0,"R$2,400",R$140,R$37,"R$2,577",0,265
100,R$330,"R$1,080",R$0,R$14,"R$1,424",0,50
101,R$780,"R$3,800",R$167,R$49,"R$4,796",0,126
102,R$390,R$720,R$0,R$10,"R$1,120",0,55
103,R$700,"R$2,700",R$84,R$35,"R$3,519",1,29
104,R$514,"R$2,450",R$138,R$32,"R$3,134",1,59
105,"R$2,450","R$7,800","R$1,417",R$99,"R$11,770",1,200
106,R$577,"R$2,196",R$100,R$28,"R$2,901",1,74
107,"R$4,300","R$10,000",R$875,R$127,"R$15,300",1,290
108,"R$1,596","R$8,000",R$820,R$102,"R$10,520",1,172
109,R$270,"R$2,600",R$67,R$33,"R$2,970",1,25
110,R$0,"R$1,100",R$0,R$17,"R$1,117",1,50
111,R$300,"R$1,100",R$0,R$14,"R$1,414",1,40
112,R$0,"R$2,465",R$0,R$38,"R$2,503",1,80
113,R$0,"R$5,000","R$1,118",R$76,"R$6,194",1,280
114,R$850,"R$4,723",R$0,R$18,"R$5,591",1,60
115,"R$1,380","R$12,000",R$790,R$153,"R$14,320",1,115
116,"R$6,200","R$15,000","R$3,500",R$191,"R$24,890",1,540
117,R$906,"R$4,250",R$217,R$54,"R$5,427",1,76
118,"R$1,100","R$2,980",R$360,R$38,"R$4,478",0,150
119,"R$2,400","R$5,500",R$209,R$70,"R$8,179",1,130
120,R$441,R$730,R$18,R$10,"R$1,199",0,64
121,R$420,"R$1,300",R$50,R$17,"R$1,787",1,55
122,R$600,"R$1,300",R$0,R$17,"R$1,917",1,50
123,"R$2,000","R$7,000",R$180,R$89,"R$9,269",1,120
124,"R$1,600","R$11,000",R$440,R$140,"R$13,180",0,236
125,R$336,R$550,R$10,R$7,R$903,0,30
126,R$0,"R$8,000",R$500,R$121,"R$8,621",0,270
127,R$350,R$670,R$21,R$9,"R$1,050",0,48
128,R$0,"R$2,000",R$145,R$31,"R$2,176",0,198
129,R$0,"R$1,080",R$59,R$17,"R$1,156",1,50
130,"R$2,670","R$5,600",R$907,R$71,"R$9,248",1,185
131,R$0,"R$12,000","R$2,500",R$181,"R$14,680",1,440
132,"R$1,650","R$1,200",R$212,R$16,"R$3,078",0,119
133,R$510,"R$1,690",R$11,R$22,"R$2,233",1,57
134,R$100,"R$1,400",R$84,R$18,"R$1,602",1,65
135,R$125,"R$2,100",R$0,R$32,"R$2,257",1,35
136,R$703,"R$2,100",R$150,R$27,"R$2,980",0,51
137,"R$1,196","R$2,004",R$0,R$26,"R$3,226",0,70
138,Incluso,"R$1,500",R$0,R$23,"R$1,523",1,90
139,"R$3,400","R$6,800",R$1,R$87,"R$10,290",1,320
140,R$0,"R$12,750","R$1,045",R$192,"R$13,990",1,250
141,R$660,"R$3,800",R$45,R$49,"R$4,554",1,70
142,"R$2,560","R$10,000",R$734,R$127,"R$13,420",1,169
143,R$338,"R$1,100",R$63,R$14,"R$1,515",1,33
144,"R$2,800","R$5,000","R$1,267",R$64,"R$9,131",1,225
145,R$0,"R$3,256",R$0,R$42,"R$3,298",1,42
146,R$0,"R$4,000",R$4,R$61,"R$4,065",1,120
147,R$750,"R$1,500",R$148,R$20,"R$2,418",1,70
148,R$0,"R$3,200",R$137,R$49,"R$3,386",1,90
149,"R$2,014","R$3,300","R$1,000",R$42,"R$6,356",1,260
150,"R$2,678","R$5,500","R$1,950",R$70,"R$10,200",1,243
151,R$0,"R$1,530",R$0,R$12,"R$1,542",1,100
152,"R$3,211","R$5,100","R$1,102",R$65,"R$9,478",1,240
153,R$700,R$870,R$46,R$12,"R$1,628",0,45
154,R$680,"R$5,000",R$14,R$64,"R$5,758",1,65
155,R$100,"R$1,000",R$76,R$13,"R$1,189",1,47
156,R$589,"R$3,300",R$65,R$42,"R$3,996",1,60
157,Sem info,"R$15,000",R$250,R$226,"R$15,480",1,340
158,R$0,"R$6,000",R$467,R$91,"R$6,558",1,500
159,R$420,"R$1,399",R$0,R$18,"R$1,837",1,55
160,"R$3,600","R$4,950","R$1,000",R$63,"R$9,613",1,240
161,R$650,"R$2,315",R$0,R$7,"R$2,972",1,65
162,R$0,"R$1,213",R$0,R$6,"R$1,219",1,68
163,Sem info,"R$10,800",R$988,R$163,"R$11,950",1,500
164,"R$1,700","R$5,500",R$320,R$70,"R$7,590",1,198
165,R$543,"R$2,200",R$59,R$28,"R$2,830",1,62
166,R$632,"R$2,806",R$25,R$36,"R$3,499",1,60
167,"R$1,700","R$8,400",R$584,R$127,"R$10,810",1,187
168,R$432,"R$2,200",R$45,R$28,"R$2,705",1,25
169,R$0,"R$3,600",R$409,R$55,"R$4,064",1,230
170,R$300,"R$2,400",R$50,R$31,"R$2,781",1,17
171,R$740,"R$2,200",R$170,R$28,"R$3,138",1,67
172,Incluso,"R$2,060",R$0,R$27,"R$2,087",1,20
173,"R$1,880","R$8,500",R$434,R$108,"R$10,920",1,118
174,R$850,"R$2,430",R$172,R$31,"R$3,483",1,43
175,"R$1,500","R$6,000",R$334,R$77,"R$7,911",1,195
176,"R$1,646","R$7,500",R$735,R$96,"R$9,977",1,141
177,R$550,"R$2,300",R$0,R$30,"R$2,880",1,45
178,R$588,"R$1,525",R$0,R$6,"R$2,119",1,48
179,"R$4,000","R$6,000","R$1,059",R$77,"R$11,140",1,280
180,"R$2,199","R$5,000",R$423,R$64,"R$7,686",1,170
181,R$0,"R$3,260",R$0,R$50,"R$3,310",1,90
182,R$392,"R$1,100",R$13,R$14,"R$1,519",0,35
183,R$390,"R$2,300",R$100,R$30,"R$2,820",1,16
184,R$600,"R$1,000",R$48,R$13,"R$1,661",0,68
185,"R$3,460","R$12,000","R$1,000",R$153,"R$16,610",1,80
186,"R$3,040","R$8,000",R$556,R$102,"R$11,700",1,190
187,R$0,"R$3,400",R$0,R$52,"R$3,452",1,150
188,"R$1,100","R$2,670",R$188,R$34,"R$3,992",1,112
189,"R$1,200","R$6,000",R$750,R$77,"R$8,027",1,145
190,R$560,"R$1,100",R$46,R$14,"R$1,720",0,47
191,"R$1,094","R$4,529",R$242,R$58,"R$5,923",1,128
192,R$0,"R$4,500",R$334,R$68,"R$4,902",1,250
193,R$250,"R$1,460",R$0,R$21,"R$1,731",1,120
194,R$0,"R$2,700",R$300,R$41,"R$3,041",1,110
195,R$0,"R$6,000",R$484,R$91,"R$6,575",1,400
196,"R$1,050","R$2,600",R$317,R$33,"R$4,000",1,35
197,"R$1,800","R$12,800",R$417,R$163,"R$15,180",1,107
198,"R$1,200","R$5,600",R$0,R$71,"R$6,871",1,97
199,R$350,"R$1,050",R$116,R$14,"R$1,530",1,70
200,R$150,"R$3,142",R$67,R$40,"R$3,399",1,20
201,"R$1,100","R$3,500",R$209,R$45,"R$4,854",1,130
202,"R$1,400","R$2,000",R$292,R$26,"R$3,718",1,120
203,"R$1,000","R$3,800",R$192,R$49,"R$5,041",1,110
204,R$0,"R$11,900",R$250,R$179,"R$12,330",1,300
205,"R$3,100","R$11,000",R$0,R$140,"R$14,240",1,349
206,R$730,"R$3,000",R$303,R$39,"R$4,072",1,97
207,"R$1,914","R$6,000",R$804,R$77,"R$8,795",1,84
208,R$0,"R$2,800",R$105,R$43,"R$2,948",1,180
209,R$0,"R$10,000","R$1,000",R$151,"R$11,150",1,286
210,"R$5,500","R$14,000","R$2,084",R$178,"R$21,760",1,500
211,"R$1,195","R$2,350",R$670,R$30,"R$4,245",1,110
212,"R$2,450","R$6,000","R$1,458",R$77,"R$9,985",1,196
213,R$552,"R$4,150",R$95,R$53,"R$4,850",1,33
214,Sem info,"R$9,000",R$542,R$136,"R$9,678",1,400
215,R$0,"R$2,481",R$0,R$26,"R$2,507",1,170
216,R$0,"R$2,200",R$109,R$34,"R$2,343",1,90
217,"R$2,700","R$1,400",R$692,R$18,"R$4,810",1,184
218,R$630,"R$7,130",R$150,R$91,"R$8,001",1,117
219,R$0,"R$1,181",R$0,R$15,"R$1,196",1,11
220,R$605,R$800,R$66,R$11,"R$1,482",0,57
221,R$0,R$850,R$30,R$11,R$891,1,16
222,"R$1,572","R$5,000",R$240,R$64,"R$6,876",1,180
223,"R$3,300","R$6,000",R$517,R$77,"R$9,894",1,250
224,R$0,"R$7,000",R$434,R$106,"R$7,540",1,220
225,"R$2,398","R$3,135","R$1,467",R$40,"R$7,040",1,360
226,Incluso,"R$4,500",R$0,R$58,"R$4,558",1,122
227,R$790,"R$7,000",R$690,R$89,"R$8,569",1,138
228,"R$1,235","R$1,400",R$0,R$18,"R$2,653",1,110
229,"R$1,600","R$3,400",R$0,R$44,"R$5,044",1,220
230,"R$1,116","R$4,775",R$185,R$61,"R$6,137",1,118
231,"R$1,800","R$5,350",R$0,R$68,"R$7,218",1,180
232,R$540,"R$1,300",R$63,R$17,"R$1,920",1,52
233,R$0,"R$1,550",R$21,R$20,"R$1,591",1,30
234,"R$1,650","R$1,500",R$419,R$20,"R$3,589",1,160
235,R$593,"R$2,550",R$237,R$39,"R$3,419",0,209
236,R$0,"R$9,500","R$1,345",R$143,"R$10,990",1,450
237,"R$2,280","R$2,300",R$700,R$30,"R$5,310",1,117
238,R$0,"R$15,000","R$4,417",R$226,"R$19,640",1,900
239,Sem info,"R$4,500",R$71,R$68,"R$4,639",1,200
240,"R$2,600","R$3,800",R$605,R$49,"R$7,054",1,128
241,"R$1,480","R$3,700",R$167,R$47,"R$5,394",1,140
242,"R$2,000","R$7,000",R$859,R$89,"R$9,948",1,180
243,"R$3,000","R$3,200",R$875,R$41,"R$7,116",1,280
244,"R$3,500","R$15,000","R$2,250",R$191,"R$20,940",1,420
245,R$740,"R$2,700",R$137,R$35,"R$3,612",1,48
246,"R$2,830","R$9,000",R$267,R$115,"R$12,210",1,148
247,R$748,"R$2,000",R$0,R$26,"R$2,774",1,75
248,R$417,"R$3,016",R$0,R$12,"R$3,445",1,44
249,R$0,"R$1,100",R$30,R$14,"R$1,144",1,35
250,R$0,"R$8,000",R$642,R$121,"R$8,763",1,320
251,R$727,"R$1,233",R$84,R$16,"R$2,060",0,98
252,R$707,"R$1,300",R$45,R$17,"R$2,069",0,51
253,"R$2,700","R$15,000","R$1,875",R$191,"R$19,770",1,322
254,"R$3,912","R$5,300","R$1,424",R$68,"R$10,700",1,187
255,"R$1,550","R$4,800",R$167,R$61,"R$6,578",1,62
256,"R$1,100","R$4,300",R$100,R$55,"R$5,555",1,130
257,"R$1,123","R$5,500",R$819,R$83,"R$7,525",0,600
258,R$0,"R$9,000","R$1,500",R$136,"R$10,640",1,520
259,"R$1,800","R$6,500",R$375,R$83,"R$8,758",1,86
260,"R$1,100","R$5,431",R$334,R$69,"R$6,934",1,72
261,R$0,"R$14,000","R$1,334",R$211,"R$15,550",1,550
262,R$0,"R$1,220",R$0,R$19,"R$1,239",1,50
263,R$0,"R$8,000","R$1,384",R$121,"R$9,505",1,298
264,R$700,"R$1,800",R$120,R$23,"R$2,643",0,74
265,R$450,"R$2,470",R$0,R$32,"R$2,952",1,41
266,R$750,"R$1,450",R$110,R$19,"R$2,329",0,80
267,"R$1,200","R$4,500",R$100,R$58,"R$5,858",1,130
268,R$691,"R$2,100",R$92,R$27,"R$2,910",1,64
269,"R$1,170","R$2,730",R$9,R$35,"R$3,944",1,50
270,R$0,"R$3,500",R$0,R$53,"R$3,553",1,200
271,"R$2,150","R$7,000",R$542,R$89,"R$9,781",1,70
272,R$390,"R$1,950",R$65,R$14,"R$2,419",0,41
273,"R$1,000","R$1,900",R$0,R$25,"R$2,925",1,89
274,R$0,"R$13,040",R$500,R$197,"R$13,740",1,250
275,R$0,"R$1,800",R$125,R$28,"R$1,953",1,105
276,R$1,"R$2,100",R$0,R$32,"R$2,133",1,150
277,R$450,"R$1,950",R$0,R$25,"R$2,425",1,50
278,Sem info,"R$5,400",R$459,R$82,"R$5,941",1,180
279,R$0,"R$1,000",R$0,R$16,"R$1,016",1,50
280,R$0,"R$1,450",R$5,R$22,"R$1,477",0,70
281,R$0,"R$6,000",R$342,R$91,"R$6,433",1,177
282,"R$1,500","R$9,200",R$959,R$117,"R$11,780",1,177
283,R$0,"R$1,710",R$0,R$22,"R$1,732",1,18
284,R$0,"R$2,900","R$1,100",R$44,"R$4,044",1,200
285,"R$3,000","R$5,520",R$0,R$70,"R$8,590",1,45
286,R$220,R$750,R$43,R$10,"R$1,023",0,70
287,R$708,"R$2,179",R$13,R$28,"R$2,928",1,66
288,R$90,"R$1,150",R$90,R$15,"R$1,345",1,48
289,"R$5,600","R$15,000",R$250,R$191,"R$21,040",1,515
290,R$650,"R$2,000",R$0,R$26,"R$2,676",1,55
291,R$0,"R$5,000",R$325,R$76,"R$5,401",1,350
292,"R$2,210","R$5,000",R$842,R$64,"R$8,116",1,260
293,R$645,"R$2,000",R$35,R$26,"R$2,706",1,78
294,R$420,"R$1,780",R$0,R$23,"R$2,223",1,35
295,R$0,"R$2,100",R$110,R$32,"R$2,242",1,106
296,R$0,"R$15,000","R$1,125",R$226,"R$16,350",1,500
297,Sem info,"R$1,650",R$0,R$25,"R$1,675",1,38
298,"R$1,500","R$11,900",R$350,R$151,"R$13,900",1,153
299,R$830,"R$1,600",R$205,R$21,"R$2,656",1,64
300,R$0,"R$4,500",R$0,R$68,"R$4,568",1,260
301,"R$1,500",R$500,R$105,R$7,"R$2,112",0,50
302,"R$1,700","R$4,500",R$85,R$58,"R$6,343",1,170
303,"R$1,043","R$4,880",R$264,R$62,"R$6,249",1,120
304,"R$3,000","R$8,000",R$402,R$102,"R$11,500",1,700
305,R$0,"R$3,978",R$89,R$60,"R$4,127",1,270
306,R$890,"R$3,463",R$0,R$32,"R$4,385",1,40
307,"R$5,400","R$10,200","R$1,584",R$130,"R$17,310",1,640
308,R$0,R$980,R$59,R$15,"R$1,054",1,40
309,R$348,"R$1,100",R$0,R$14,"R$1,462",1,40
310,R$450,"R$2,000",R$88,R$26,"R$2,564",1,42
311,R$550,"R$2,100",R$0,R$27,"R$2,677",1,62
312,R$950,"R$5,000",R$250,R$64,"R$6,264",1,106
313,R$944,"R$4,400",R$126,R$56,"R$5,526",1,103
314,"R$4,300","R$8,500","R$1,500",R$108,"R$14,410",1,360
315,R$650,"R$6,400",R$0,R$82,"R$7,132",1,113
316,"R$1,840","R$6,000",R$550,R$77,"R$8,467",1,164
317,R$0,"R$2,800",R$15,R$43,"R$2,858",1,110
318,"R$1,285","R$4,348",R$196,R$56,"R$5,885",1,110
319,"R$1,800","R$4,200",R$312,R$54,"R$6,366",1,136
320,R$380,"R$1,200",R$83,R$16,"R$1,679",0,65
321,R$735,"R$1,345",R$35,R$18,"R$2,133",1,62
322,"R$1,450","R$9,800",R$350,R$125,"R$11,730",0,163
323,R$597,"R$1,570",R$0,R$20,"R$2,187",1,47
324,R$795,"R$3,500",R$213,R$45,"R$4,553",1,50
325,R$900,"R$3,000",R$209,R$39,"R$4,148",1,79
326,"R$1,400","R$5,380",R$234,R$69,"R$7,083",1,250
327,R$380,"R$1,210",R$0,R$16,"R$1,606",1,50
328,R$0,"R$5,000",R$235,R$76,"R$5,311",1,150
329,R$300,R$700,R$100,R$9,"R$1,109",0,76
330,R$520,"R$1,800",R$159,R$23,"R$2,502",1,72
331,"R$1,280","R$4,000",R$200,R$51,"R$5,531",1,35
332,"R$3,421","R$10,700","R$1,224",R$136,"R$15,480",1,250
333,R$598,"R$1,110",R$63,R$15,"R$1,786",0,85
334,R$583,"R$1,100",R$49,R$14,"R$1,746",0,60
335,R$255,"R$1,290",R$33,R$17,"R$1,595",0,47
336,R$915,"R$9,000",R$254,R$115,"R$10,280",1,104
337,R$0,"R$3,300",R$117,R$50,"R$3,467",0,203
338,"R$1,513","R$3,500",R$260,R$45,"R$5,318",1,136
339,R$694,"R$4,500",R$200,R$58,"R$5,452",1,53
340,R$0,"R$15,000","R$1,870",R$226,"R$17,100",1,400
341,R$480,"R$4,200",R$75,R$54,"R$4,809",1,40
342,R$0,"R$1,680",R$0,R$22,"R$1,702",1,38
343,"R$3,100","R$2,800","R$1,667",R$36,"R$7,603",1,340
344,"R$1,000","R$2,500",R$177,R$32,"R$3,709",0,134
345,R$453,"R$3,000",R$0,R$39,"R$3,492",1,97
346,Sem info,"R$1,150",R$59,R$18,"R$1,227",1,90
347,"R$2,600","R$8,000",R$417,R$102,"R$11,120",1,260
348,R$356,"R$1,650",R$0,R$21,"R$2,027",1,66
349,"R$2,750","R$2,930",R$448,R$38,"R$6,166",1,92
350,R$750,"R$4,250",R$21,R$54,"R$5,075",1,92
351,"R$1,400","R$13,100",R$409,R$166,"R$15,080",1,155
352,Sem info,R$900,R$0,R$12,R$912,1,30
353,"R$1,405","R$3,500",R$1,R$45,"R$4,951",1,27
354,R$0,"R$3,200",R$380,R$49,"R$3,629",1,175
355,"R$2,808","R$6,500","R$1,605",R$83,"R$11,000",1,326
356,"R$3,500","R$10,000","R$1,834",R$127,"R$15,460",1,236
357,R$926,"R$1,200",R$100,R$16,"R$2,242",0,119
358,R$383,"R$2,050",R$40,R$26,"R$2,499",1,23
359,"R$2,000","R$8,000",R$667,R$102,"R$10,770",1,260
360,R$0,"R$12,000",R$0,R$181,"R$12,180",1,400
361,R$870,"R$7,900",R$150,R$101,"R$9,021",1,87
362,R$0,"R$1,800",R$0,R$28,"R$1,828",1,65
363,"R$2,000","R$15,000","R$1,000",R$191,"R$18,190",1,210
364,R$0,"R$4,200",R$192,R$64,"R$4,456",1,250
365,"R$2,600","R$11,700",R$667,R$149,"R$15,120",1,155
366,R$0,"R$4,100",R$20,R$62,"R$4,182",0,300
367,R$500,"R$1,800",R$78,R$23,"R$2,401",0,70
368,"R$1,200","R$4,500",R$100,R$58,"R$5,858",1,68
369,"R$2,000","R$7,900",R$417,R$101,"R$10,420",0,220
370,R$700,"R$2,250",R$175,R$29,"R$3,154",0,91
371,R$0,"R$5,100",R$320,R$77,"R$5,497",0,230
372,R$288,R$950,R$45,R$13,"R$1,296",0,48
373,"R$1,400","R$10,000",R$0,R$127,"R$11,530",1,90
374,"R$1,000","R$5,500",R$200,R$70,"R$6,770",1,60
375,"R$5,500","R$15,000",R$0,R$191,"R$20,690",1,450
376,R$0,R$850,R$35,R$11,R$896,1,16
377,"R$1,100","R$1,400",R$291,R$18,"R$2,809",1,100
378,R$1,"R$3,400",R$417,R$52,"R$3,870",1,300
379,"R$1,700","R$6,800",R$475,R$87,"R$9,062",1,151
380,"R$2,092","R$7,608",R$730,R$97,"R$10,530",1,150
381,R$570,"R$1,500",R$67,R$20,"R$2,157",1,57
382,"R$1,787","R$1,200",R$144,R$16,"R$3,147",1,30
383,"R$1,350","R$3,110",R$85,R$40,"R$4,585",0,53
384,Sem info,"R$6,800",R$417,R$103,"R$7,320",1,270
385,"R$1,400","R$5,800",R$334,R$74,"R$7,608",1,78
386,R$150,"R$3,142",R$67,R$40,"R$3,399",1,20
387,R$0,"R$3,999",R$200,R$51,"R$4,250",1,140
388,"R$2,300","R$12,000",R$700,R$153,"R$15,150",1,155
389,R$850,"R$2,250",R$334,R$29,"R$3,463",1,118
390,"R$3,450","R$5,500",R$541,R$70,"R$9,561",0,235
391,"R$4,700","R$9,000","R$1,125",R$115,"R$14,940",1,400
392,"R$1,015","R$3,500",R$117,R$45,"R$4,677",1,80
393,R$710,"R$3,100",R$85,R$12,"R$3,907",1,50
394,R$337,"R$2,500",R$86,R$32,"R$2,955",0,55
395,R$0,"R$8,500","R$1,250",R$128,"R$9,878",1,400
396,R$550,"R$1,800",R$0,R$23,"R$2,373",1,63
397,"R$4,500","R$8,500","R$1,111",R$108,"R$14,220",1,325
398,"R$2,500","R$6,000",R$125,R$77,"R$8,702",1,200
399,R$790,"R$5,000",R$192,R$64,"R$6,046",1,58
400,R$0,"R$4,600","R$3,600",R$70,"R$8,270",1,180
401,"R$1,774","R$4,507",R$444,R$19,"R$6,744",1,159
402,R$0,"R$15,000","R$1,250",R$226,"R$16,480",1,420
403,R$685,"R$1,500",R$35,R$20,"R$2,240",1,88
404,R$549,"R$1,135",R$0,R$5,"R$1,689",0,70
405,"R$2,200","R$10,000",R$750,R$127,"R$13,080",1,246
406,R$550,"R$1,250",R$0,R$16,"R$1,816",1,53
407,R$500,"R$2,200",R$0,R$28,"R$2,728",1,22
408,R$0,"R$1,700",R$60,R$26,"R$1,786",1,80
409,R$500,"R$2,570",Incluso,R$8,"R$3,078",1,30
410,"R$2,300","R$7,000",R$442,R$89,"R$9,831",0,157
411,R$0,"R$5,015",R$400,R$76,"R$5,491",1,450
412,R$295,"R$2,572",R$53,R$8,"R$2,928",1,90
413,R$800,"R$1,800",R$0,R$23,"R$2,623",1,88
414,"R$1,300","R$1,950",R$0,R$25,"R$3,275",0,46
415,"R$1,970","R$8,000",R$559,R$102,"R$10,630",1,189
416,R$395,"R$1,250",R$0,R$16,"R$1,661",1,49
417,"R$2,500","R$7,000","R$1,200",R$89,"R$10,790",1,180
418,"R$1,090","R$7,000",R$500,R$89,"R$8,679",1,128
419,R$518,"R$1,300",R$170,R$10,"R$1,998",1,60
420,R$982,"R$1,710",R$48,R$22,"R$2,762",1,74
421,"R$1,800","R$2,500",R$180,R$32,"R$4,512",1,80
422,R$0,"R$2,500",R$0,R$38,"R$2,538",1,150
